"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def","playerid"
"Chas McCormick","HOU","CF","241.0","0","","","","0","0","2","","2","-0.5","","3.5","0.2","3.1","24.7","","3","3","1.9","19599"
"Nicky Lopez","KCR","SS","178.0","0","","","1","","0","1","","2","","0.6","0.3","0.4","1.4","6.7","","1","0","1.9","19339"
"Joey Wendle","MIA","2B","125.1","0","","","0","","0","2","","2","","0.1","0.9","0.0","1.0","7.4","","2","2","1.8","13853"
"Enrique Hernandez","BOS","CF","449.2","0","","","","0","0","4","","4","-0.2","","1.8","0.5","2.1","5.8","","3","3","1.8","10472"
"Nicky Lopez","KCR","3B","130.0","0","","","0","","0","0","","0","","0.0","-1.2","0.8","-0.5","-5.5","","2","1","1.8","19339"
"Cody Bellinger","LAD","CF","762.1","0","","","","1","-1","4","","4","0.6","","-2.6","-0.4","-2.4","-3.7","","3","3","1.8","15998"
"Kyle Isbel","KCR","CF","169.0","0","","","","0","0","-2","","-2","-0.8","","-0.4","-0.2","-1.4","-8.6","","3","3","1.8","21614"
"Isiah Kiner-Falefa","NYY","SS","741.0","0","","","-1","","0","7","","6","","-0.4","1.7","-0.4","1.0","1.7","","-2","-1","1.8","16512"
"Gavin Lux","LAD","2B","513.2","0","","","0","","0","4","","4","","0.1","0.6","-2.1","-1.5","-7.6","","2","1","1.8","19955"
"Owen Miller","CLE","2B","180.1","0","","","0","","-1","0","","-1","","-0.1","-0.8","-0.8","-1.7","-9.4","","2","2","1.7","24655"
"Dylan Moore","SEA","RF","189.2","0","","","","1","1","1","","3","1.6","","-1.9","0.3","0.0","-1.2","","1","1","1.7","18042"
"Garrett Hampson","COL","SS","137.0","0","","","0","","0","-1","","-1","","0.1","-0.6","0.3","-0.2","-2.8","","1","1","1.7","19262"
"Johan Camargo","PHI","SS","178.0","0","","","0","","0","-3","","-3","","0.2","-0.5","1.4","1.0","6.6","","1","1","1.7","14950"
"Tucker Barnhart","DET","C","487.0","-2","0","-2","","","2","","","-4","","","","","","","-0.5","","","1.7","10200"
"Adam Frazier","SEA","2B","581.2","0","","","0","","1","-5","","-4","","0.6","-0.3","-0.4","-0.1","-1.2","","1","1","1.6","15223"
"Roman Quinn","- - -","CF","108.0","0","","","","1","1","0","","2","1.6","","-0.3","-0.7","0.6","2.3","","0","0","1.6","13546"
"Aristides Aquino","CIN","RF","159.0","0","","","","1","0","5","","6","0.2","","1.6","-0.5","1.4","16.1","","2","2","1.6","15482"
"Matt Chapman","TOR","3B","779.0","0","","","1","","0","1","","2","","0.3","1.0","-0.9","0.3","0.5","","-1","-1","1.6","16505"
"Odubel Herrera","PHI","CF","349.0","0","","","","-1","-1","0","","-2","0.4","","1.4","0.1","1.9","8.5","","2","2","1.6","11476"
"Vimael Machin","OAK","3B","142.0","0","","","0","","0","1","","1","","0.1","0.7","-0.1","0.8","9.5","","1","1","1.6","17684"
"Tim Anderson","CHW","SS","597.0","0","","","-1","","0","-3","","-4","","-0.4","-2.6","-0.2","-3.2","-6.4","","-1","-1","1.6","15172"
"Cam Gallagher","KCR","C","115.0","1","1","0","","","-1","","","1","","","","","","","0.6","","","1.5","12981"
"Alex Bregman","HOU","3B","814.2","0","","","0","","1","-6","","-5","","0.3","0.2","-0.4","0.1","-0.2","","-1","-1","1.5","17678"
"Jackie Bradley Jr.","BOS","RF","499.2","0","","","","1","0","5","","6","1.6","","3.7","0.6","6.0","15.2","","2","2","1.5","12984"
"Patrick Mazeika","NYM","C","151.2","0","0","0","","","1","","","0","","","","","","","0.2","","","1.5","18142"
"Isaac Paredes","TBR","3B","171.1","0","","","0","","0","3","","3","","0.1","0.6","0.7","1.4","15.7","","1","1","1.5","20036"
"Sergio Alcantara","- - -","3B","169.0","0","","","0","","0","-2","","-2","","0.2","0.7","-1.1","-0.1","-1.1","","1","1","1.5","16417"
"Jonathan Davis","MIL","CF","173.1","0","","","","0","-1","-1","","-2","-0.1","","-0.8","-0.1","-1.0","-10.3","","2","2","1.4","15104"
"Marwin Gonzalez","NYY","SS","116.2","0","","","0","","0","0","","0","","-0.2","0.2","0.9","0.8","11.4","","1","1","1.4","5497"
"Ehire Adrianza","WSN","3B","111.1","0","","","0","","0","0","","0","","0.1","-0.2","0.4","0.3","6.1","","1","1","1.4","8418"
"Nicky Lopez","KCR","2B","418.0","0","","","0","","0","-6","","-6","","-0.4","-3.5","2.2","-1.6","-3.0","","2","1","1.4","19339"
"Tyler Stephenson","CIN","C","351.2","-2","1","0","","","0","","","-1","","","","","","","-1.7","","","1.3","17988"
"Bryson Stott","PHI","2B","304.0","0","","","0","","0","0","","0","","-0.1","0.6","1.9","2.3","7.3","","2","1","1.3","26294"
"Jake Meyers","HOU","CF","213.0","0","","","","-1","-2","3","","0","-1.4","","2.2","-0.4","0.4","2.6","","3","3","1.3","20308"
"Taylor Walls","TBR","3B","157.1","0","","","0","","0","4","","4","","-0.2","1.4","-0.3","0.8","11.1","","2","1","1.3","22458"
"Christian Walker","ARI","1B","750.1","0","","","0","","0","14","","14","","0.0","2.4","0.7","3.2","5.1","","10","7","1.3","13419"
"Lorenzo Cain","MIL","CF","358.1","0","","","","0","-1","3","","2","-0.2","","3.0","-0.1","2.7","10.9","","2","2","1.3","9077"
"Jose Miranda","MIN","3B","128.0","0","","","0","","0","0","","0","","-0.2","0.2","0.1","0.2","2.3","","1","1","1.2","20538"
"Bobby Witt Jr.","KCR","3B","250.0","0","","","0","","1","-1","","1","","0.4","-2.7","1.9","-0.3","-1.2","","0","0","1.2","25764"
"Thairo Estrada","SFG","SS","142.2","0","","","0","","0","-1","","-1","","0.0","0.6","0.4","1.0","7.1","","1","1","1.2","16426"
"Danny Mendick","CHW","SS","182.1","0","","","0","","0","-1","","-1","","0.2","-1.1","1.4","0.5","3.4","","0","0","1.2","18889"
"Brandon Drury","CIN","3B","431.0","0","","","0","","1","-4","","-2","","-0.1","0.3","-0.2","0.0","0.1","","0","0","1.2","11615"
"Josh VanMeter","PIT","2B","259.0","0","","","1","","1","-1","","1","","0.4","2.3","-1.5","1.1","3.5","","1","1","1.2","15170"
"Wilmer Flores","SFG","2B","185.2","0","","","-1","","0","-1","","-2","","-0.4","0.3","0.8","0.7","6.8","","2","1","1.1","5827"
"Yu Chang","- - -","2B","120.1","0","","","0","","-1","1","","0","","0.3","0.1","-0.6","-0.1","-13.6","","1","1","1.1","14773"
"Tony Kemp","OAK","2B","463.1","0","","","-1","","-1","-3","","-5","","-0.5","-0.4","1.3","0.4","1.6","","2","1","1.1","14894"
"Ramon Laureano","OAK","RF","373.2","0","","","","2","1","0","","3","2.9","","0.0","-0.2","2.7","8.0","","-1","0","1.1","17128"
"Andres Gimenez","CLE","SS","130.0","0","","","0","","0","0","","0","","-0.1","-0.9","1.9","1.0","5.9","","1","1","1.0","19950"
"Mike Yastrzemski","SFG","CF","327.0","0","","","","1","0","2","","3","0.1","","1.0","0.2","1.3","4.9","","2","2","1.0","14854"
"Luis Arraez","MIN","2B","203.2","0","","","0","","0","3","","3","","0.3","0.6","0.1","1.1","10.7","","1","1","1.0","18568"
"Daulton Varsho","ARI","C","175.0","-2","-2","1","","","-1","","","-4","","","","","","","-1.5","","","1.0","19918"
"Matt Duffy","LAA","3B","155.2","0","","","0","","0","0","","0","","0.1","0.3","0.4","0.8","9.3","","1","1","1.0","13836"
"Jurickson Profar","SDP","LF","746.0","0","","","","3","1","3","","7","2.4","","-1.3","0.2","1.4","2.9","","1","0","1.0","10815"
"DJ LeMahieu","NYY","2B","216.0","0","","","0","","0","0","","0","","-0.4","0.2","0.8","0.5","5.9","","2","1","1.0","9874"
"Michael Papierski","- - -","C","136.1","0","0","0","","","0","","","1","","","","","","","-0.2","","","1.0","21386"
"Buddy Kennedy","ARI","2B","151.0","0","","","-1","","0","0","","-1","","-0.2","0.2","-0.2","-0.2","-0.8","","1","1","1.0","22505"
"Nick Allen","OAK","2B","228.0","0","","","0","","0","4","","4","","0.1","0.1","-1.3","-1.1","-8.4","","1","1","0.9","22277"
"Sam Hilliard","COL","LF","252.0","0","","","","1","2","1","","4","1.1","","1.8","0.3","3.3","14.3","","1","0","0.9","17954"
"Jorge Alfaro","SDP","C","387.2","-2","-1","0","","","-1","","","-4","","","","","","","-2.4","","","0.9","12180"
"Kyle Farmer","CIN","SS","692.0","0","","","1","","2","-3","","0","","0.6","-1.7","0.3","-0.8","-3.3","","-4","-3","0.9","14813"
"Mickey Moniak","PHI","CF","124.0","0","","","","-1","0","-1","","-2","-0.5","","0.7","0.2","0.4","5.5","","2","2","0.9","19956"
"Alejo Lopez","CIN","2B","122.1","0","","","0","","-1","-1","","-2","","0.0","-0.2","0.1","-0.1","-1.6","","1","1","0.9","21127"
"Wander Franco","TBR","SS","427.1","0","","","0","","0","1","","1","","-0.3","1.4","0.0","1.1","4.1","","-1","-1","0.9","23667"
"Christopher Morel","CHC","2B","176.0","0","","","0","","0","-1","","-1","","","0.2","-0.4","-0.3","-4.3","","1","1","0.9","21897"
"Ha-seong Kim","SDP","3B","171.1","0","","","0","","0","2","","2","","0.4","1.0","1.2","2.6","19.7","","0","0","0.9","27506"
"Adolis Garcia","TEX","CF","419.1","0","","","","-1","1","1","","1","-0.2","","1.1","0.1","1.0","3.5","","2","2","0.9","19287"
"Carlos Correa","MIN","SS","601.1","0","","","0","","0","2","","2","","0.0","0.9","-0.1","0.8","3.3","","-3","-2","0.8","14162"
"Luis Urias","MIL","2B","163.0","0","","","0","","0","0","","0","","0.4","-0.2","0.6","0.8","3.5","","0","0","0.8","16622"
"Bradley Zimmer","TOR","CF","244.2","0","","","","0","0","2","","2","0.2","","-1.7","0.2","-1.3","-6.7","","1","1","0.8","16221"
"Yandy Diaz","TBR","3B","521.0","0","","","0","","1","-5","","-4","","0.5","-0.5","2.8","2.9","8.1","","-2","-1","0.8","16578"
"Austin Wynns","SFG","C","150.1","0","0","0","","","0","","","0","","","","","","","-0.5","","","0.7","15271"
"Abraham Toro","SEA","3B","147.0","0","","","0","","0","2","","2","","-0.2","-0.7","0.3","-0.6","-8.2","","1","1","0.7","19844"
"Tyler Wade","LAA","2B","192.0","0","","","0","","0","0","","0","","","0.4","-0.6","-0.2","-3.0","","1","1","0.7","15730"
"Vidal Brujan","TBR","2B","226.1","0","","","0","","0","1","","1","","0.2","1.1","-1.1","0.3","0.6","","0","0","0.7","20536"
"Hunter Renfroe","MIL","RF","524.1","0","","","","3","2","4","","9","2.4","","1.7","0.3","4.4","13.6","","0","0","0.7","15464"
"Connor Joe","COL","LF","266.1","0","","","","0","0","6","","6","-0.2","","5.2","0.4","5.4","21.1","","2","2","0.7","16572"
"Yordan Alvarez","HOU","LF","279.0","0","","","","3","0","0","","3","4.0","","-0.5","-0.3","3.1","13.4","","-3","-3","0.6","19556"
"Leody Taveras","TEX","CF","262.0","0","","","","1","0","-1","","0","2.2","","-2.5","-0.1","-0.3","-2.9","","-1","-1","0.6","18900"
"Jesus Sanchez","MIA","CF","645.2","0","","","","3","0","-2","","1","3.7","","-3.6","-0.1","0.0","0.1","","-2","-2","0.6","19913"
"Sam Huff","TEX","C","121.0","0","-1","-1","","","-1","","","-3","","","","","","","0.5","","","0.6","22209"
"Josh Harrison","CHW","3B","110.2","0","","","0","","0","1","","1","","0.0","1.6","-0.6","1.0","16.9","","0","0","0.6","8202"
"Andy Ibanez","TEX","3B","196.2","0","","","-1","","-1","4","","2","","-0.4","0.7","-0.7","-0.4","-2.6","","1","0","0.5","18819"
"William Contreras","ATL","C","276.0","-2","3","0","","","0","","","0","","","","","","","-1.8","","","0.5","20503"
"Rafael Devers","BOS","3B","728.1","0","","","0","","0","-2","","-2","","-0.6","-2.2","-1.3","-4.1","-6.5","","-1","-1","0.5","17350"
"Anthony Bemboom","BAL","C","143.0","0","1","-1","","","0","","","1","","","","","","","0.3","","","0.5","13854"
"David Peralta","ARI","LF","589.0","0","","","","-3","-1","5","","1","-1.8","","2.8","0.2","1.2","1.7","","4","4","0.5","2136"
"Harold Ramirez","TBR","RF","104.1","0","","","","0","0","1","","1","0.1","","-0.2","0.1","0.0","1.7","","1","1","0.5","14387"
"Joey Wendle","MIA","3B","150.1","0","","","0","","0","0","","0","","0.1","0.4","-0.5","-0.1","-2.1","","0","0","0.5","13853"
"Jake Marisnick","PIT","CF","104.2","0","","","","0","-1","-1","","-2","0.1","","-1.0","0.2","-0.8","-8.6","","1","1","0.5","11339"
"DJ LeMahieu","NYY","1B","130.1","0","","","0","","1","2","","3","","0.0","0.3","0.3","0.6","9.9","","2","2","0.5","9874"
"Bryson Stott","PHI","SS","234.0","0","","","0","","0","-2","","-2","","0.3","-1.2","0.4","-0.5","-2.9","","-1","-1","0.5","26294"
"Avisail Garcia","MIA","RF","618.0","0","","","","0","0","-1","","-1","1.5","","-0.4","0.4","1.5","3.9","","1","1","0.4","5760"
"Jack Suwinski","PIT","LF","267.2","0","","","","1","1","0","","2","1.3","","-1.5","0.0","-0.1","5.6","","0","0","0.4","22244"
"Rafael Ortega","CHC","CF","209.0","0","","","","1","0","-3","","-2","1.6","","-2.5","-0.5","-1.4","-7.0","","-1","-1","0.4","10323"
"Mike Moustakas","CIN","3B","175.0","0","","","0","","0","-1","","-1","","-0.2","-0.5","-0.1","-0.8","-14.2","","0","0","0.4","4892"
"Skye Bolt","OAK","CF","142.0","0","","","","0","0","-3","","-3","-0.1","","-0.7","0.2","-0.7","-6.6","","1","1","0.4","17723"
"Aledmys Diaz","HOU","2B","104.0","0","","","0","","0","2","","2","","-0.1","-0.6","0.3","-0.4","-6.7","","1","0","0.4","15937"
"Albert Almora Jr.","CIN","RF","199.2","0","","","","0","-1","2","","1","0.5","","1.7","-0.4","1.7","13.6","","1","1","0.4","14109"
"J.P. Crawford","SEA","SS","744.2","0","","","1","","0","3","","4","","1.6","-0.5","-0.3","0.8","-0.5","","-6","-5","0.4","15491"
"Jeff McNeil","NYM","LF","238.0","0","","","","1","0","2","","3","-0.7","","0.1","-0.5","-1.1","-8.2","","2","2","0.4","15362"
"Miguel Andujar","NYY","LF","106.0","0","","","","0","0","3","","3","0.1","","1.4","0.2","1.6","19.6","","1","1","0.3","15878"
"Brandon Drury","CIN","2B","132.1","0","","","0","","0","-2","","-2","","","-0.2","0.3","0.1","1.6","","0","0","0.3","11615"
"Elvis Andrus","OAK","SS","737.1","0","","","0","","-1","-5","","-6","","-0.8","1.2","1.4","1.8","3.8","","-3","-2","0.3","8709"
"Adolis Garcia","TEX","RF","343.0","0","","","","1","1","2","","4","-0.1","","1.9","0.1","1.8","7.8","","2","2","0.3","19287"
"Sheldon Neuse","OAK","3B","284.0","0","","","0","","0","2","","2","","0.7","0.5","-2.9","-1.7","-12.3","","-2","-1","0.3","19635"
"Jordan Luplow","ARI","RF","154.2","0","","","","0","0","0","","0","0.7","","0.5","0.2","1.4","10.8","","0","0","0.3","16424"
"Francisco Mejia","TBR","C","383.1","-1","1","0","","","-1","","","-1","","","","","","","-3.0","","","0.3","16403"
"Trey Mancini","BAL","1B","222.0","0","","","0","","0","2","","2","","","-0.2","0.9","0.7","4.0","","3","2","0.2","15149"
"David Villar","SFG","3B","110.0","0","","","0","","0","0","","0","","-0.2","0.1","0.3","0.2","1.9","","0","0","0.2","24782"
"Jose Azocar","SDP","RF","208.1","0","","","","0","0","0","","0","0.2","","0.9","-0.6","0.5","3.1","","1","1","0.2","18821"
"Tyrone Taylor","MIL","CF","317.0","0","","","","1","0","1","","2","0.8","","0.0","0.4","1.3","5.4","","0","0","0.2","13675"
"Evan Longoria","SFG","3B","309.2","0","","","-1","","0","-4","","-5","","-0.7","-0.1","0.8","0.0","1.5","","0","0","0.2","9368"
"Aaron Judge","NYY","RF","239.2","0","","","","0","-1","0","","-1","-0.2","","-0.5","0.3","-0.4","-2.1","","1","1","0.2","15640"
"Aledmys Diaz","HOU","SS","122.0","0","","","0","","0","0","","0","","-0.1","0.2","0.5","0.7","9.7","","0","0","0.2","15937"
"Paul DeJong","STL","SS","202.0","0","","","0","","0","4","","4","","-0.3","1.6","0.7","2.0","9.9","","-1","0","0.2","18015"
"Albert Almora Jr.","CIN","CF","105.0","0","","","","-1","0","2","","1","-0.6","","0.1","0.1","-0.5","-8.1","","1","1","0.2","14109"
"Willi Castro","DET","RF","143.0","0","","","","0","0","2","","2","0.1","","0.3","0.2","0.6","6.0","","1","1","0.1","17338"
"Josh Smith","TEX","3B","210.2","0","","","0","","0","3","","3","","0.0","-1.9","1.2","-0.7","-2.9","","-1","0","0.1","26396"
"Taylor Trammell","SEA","RF","201.0","0","","","","0","-1","2","","1","0.0","","-0.1","0.2","0.1","1.0","","1","1","0.1","19960"
"Marcus Semien","TEX","2B","762.1","0","","","0","","0","4","","4","","-0.8","0.7","2.3","2.2","3.8","","0","0","0.1","12533"
"Kyle Tucker","HOU","RF","756.2","0","","","","1","4","6","","11","0.8","","-0.5","0.6","1.0","2.3","","2","2","0.1","18345"
"Jason Castro","HOU","C","201.0","-1","1","0","","","-1","","","-1","","","","","","","-1.7","","","0.1","8722"
"Jason Heyward","CHC","CF","182.0","0","","","","0","0","-2","","-2","-0.5","","-1.6","0.3","-1.8","-14.2","","1","1","0.0","4940"
"Jeff McNeil","NYM","2B","383.0","0","","","-1","","0","0","","-1","","-0.4","-0.8","1.2","0.0","0.8","","0","0","0.0","15362"
"Josh Rojas","ARI","3B","523.1","0","","","0","","1","-2","","-1","","-0.1","-0.1","-0.9","-1.1","-3.0","","-2","-1","0.0","19734"
"Gilberto Celestino","MIN","LF","100.0","0","","","","0","0","-2","","-2","0.2","","-1.3","-0.2","-1.3","-16.9","","0","0","0.0","20233"
"Jack Suwinski","PIT","RF","217.0","0","","","","-1","2","0","","1","0.4","","0.4","-0.6","0.2","1.3","","0","0","0.0","22244"
"Steven Duggar","- - -","CF","105.1","0","","","","0","0","-1","","-1","0.1","","-0.1","0.1","0.1","1.8","","0","0","0.0","17719"
"Kevin Plawecki","BOS","C","239.0","-1","0","-1","","","-2","","","-5","","","","","","","-1.1","","","0.0","13807"
"George Springer","TOR","CF","458.0","0","","","","0","0","-1","","-1","-0.3","","0.0","0.1","-0.2","-0.7","","1","1","0.0","12856"
"Jose Altuve","HOU","2B","654.2","0","","","1","","-1","-4","","-4","","-0.4","0.1","-1.6","-1.8","-5.0","","0","0","-0.1","5417"
"Dominic Smith","NYM","1B","196.0","0","","","0","","0","1","","1","","-0.1","0.1","0.7","0.8","4.6","","2","2","-0.1","15653"
"Seth Brown","OAK","LF","128.1","0","","","","0","0","0","","0","0.0","","-0.7","0.1","-0.5","-7.5","","0","0","-0.1","18171"
"Jason Vosler","SFG","3B","143.2","0","","","0","","0","-6","","-6","","0.0","-1.7","1.0","-0.8","-6.2","","-1","0","-0.1","16686"
"Mauricio Dubon","- - -","CF","144.2","0","","","","1","0","-1","","0","0.1","","-0.1","0.1","0.2","2.3","","0","0","-0.1","16530"
"Wil Myers","SDP","RF","278.2","0","","","","0","1","3","","4","-1.3","","3.4","0.0","2.1","8.8","","2","2","-0.1","10047"
"Eric Haase","DET","C","324.0","-2","-1","0","","","0","","","-3","","","","","","","-2.9","","","-0.1","14111"
"Adam Duvall","ATL","LF","237.1","0","","","","0","-2","0","","-2","-0.6","","-1.2","-0.1","-2.0","-13.9","","1","1","-0.1","10950"
"Ezequiel Duran","TEX","3B","152.0","0","","","-1","","0","-1","","-2","","-0.7","1.0","-0.7","-0.4","-0.2","","0","0","-0.2","23733"
"Christian Bethancourt","- - -","1B","216.0","0","","","0","","-1","0","","-1","","","-0.1","-0.3","-0.4","-4.1","","2","2","-0.2","10028"
"Brett Phillips","TBR","CF","272.1","0","","","","-1","0","-4","","-5","-1.7","","-0.5","-0.6","-2.8","-13.3","","2","2","-0.2","14735"
"Bryan De La Cruz","MIA","LF","168.1","0","","","","-1","0","4","","3","-0.2","","1.3","-0.1","0.9","7.9","","0","0","-0.2","19600"
"Eddie Rosario","ATL","LF","116.0","0","","","","1","0","0","","1","-0.1","","-1.0","0.1","-0.9","-9.4","","0","0","-0.2","12155"
