"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","ARM","DPR","RngR","ErrR","UZR","UZR/150","FRM","OAA","RAA","Def","playerid"
"Rodolfo Castro","PIT","SS","155.0","0","","","0","","-1","-1","","-2","","-0.1","0.7","-2.0","-1.4","-9.4","","-1","-1","-0.2","21987"
"Franchy Cordero","BOS","RF","113.2","0","","","","0","0","0","","0","0.7","","1.5","-0.7","1.5","24.3","","-1","-1","-0.3","14567"
"Oneil Cruz","PIT","SS","249.2","0","","","1","","0","3","","4","","0.1","1.0","-0.2","0.9","3.7","","-2","-2","-0.3","21711"
"Sam Haggerty","SEA","RF","109.0","0","","","","-1","0","2","","1","-0.8","","0.5","0.1","-0.1","-2.7","","1","1","-0.3","18054"
"Cesar Hernandez","WSN","2B","823.0","0","","","-1","","0","-2","","-3","","0.5","-1.7","1.3","0.0","-0.3","","-2","-1","-0.3","10556"
"Jackie Bradley Jr.","BOS","CF","158.2","0","","","","0","0","-1","","-1","-0.3","","-0.4","0.2","-0.5","-3.9","","0","0","-0.3","12984"
"Brad Miller","TEX","3B","136.0","0","","","0","","0","-4","","-4","","0.1","-0.8","-0.5","-1.2","-10.5","","-1","-1","-0.3","12775"
"Corey Dickerson","STL","LF","141.0","0","","","","-1","-1","2","","0","-0.2","","1.2","0.2","1.2","8.9","","0","0","-0.3","10762"
"Giancarlo Stanton","NYY","RF","280.2","0","","","","0","0","-3","","-3","1.4","","-1.3","0.0","0.1","2.7","","-1","-1","-0.3","4949"
"Jo Adell","LAA","RF","113.0","0","","","","0","0","1","","1","-1.4","","0.2","-0.1","-1.3","-8.1","","2","2","-0.3","20220"
"Adam Engel","CHW","CF","176.0","0","","","","-1","1","0","","0","-1.2","","-0.7","-0.1","-2.1","-14.4","","1","1","-0.3","15082"
"Leury Garcia","CHW","2B","368.1","0","","","0","","0","-1","","-1","","-0.2","0.5","0.2","0.5","1.6","","-1","0","-0.3","5913"
"Mitch Garver","TEX","C","124.0","0","0","-1","","","-1","","","-2","","","","","","","-0.4","","","-0.3","15161"
"Luis Torrens","SEA","C","227.0","-2","-1","0","","","-1","","","-4","","","","","","","-2.3","","","-0.4","15905"
"Brendan Rodgers","COL","2B","755.0","0","","","2","","0","7","","9","","1.0","0.4","2.5","3.9","3.6","","-3","-2","-0.4","17907"
"Josh Lowe","TBR","RF","207.1","0","","","","1","0","-1","","0","0.9","","-0.6","0.3","0.5","2.4","","-1","0","-0.4","19953"
"CJ Abrams","SDP","SS","252.2","0","","","0","","-1","0","","-1","","-0.1","-0.5","0.4","-0.2","-1.1","","-2","-1","-0.4","25768"
"Robbie Grossman","DET","LF","324.0","0","","","","-1","0","2","","1","-0.6","","1.6","-0.4","0.6","3.5","","1","1","-0.4","5254"
"Brandon Marsh","LAA","CF","101.0","0","","","","-1","0","1","","0","-0.6","","0.5","0.1","0.0","-5.8","","0","0","-0.4","20202"
"Yonathan Daza","COL","CF","446.0","0","","","","1","-1","-5","","-5","-0.8","","-0.8","-0.1","-1.7","-4.4","","2","1","-0.4","15794"
"Chris Taylor","LAD","LF","502.0","0","","","","0","0","-5","","-5","1.9","","-2.2","-0.4","-0.7","0.8","","-1","-1","-0.4","13757"
"Tyrone Taylor","MIL","RF","162.1","0","","","","-1","0","0","","-1","0.0","","-0.8","0.2","-0.6","-5.4","","0","0","-0.4","13675"
"Teoscar Hernandez","TOR","RF","550.2","0","","","","4","0","-2","","2","3.1","","-2.1","-0.9","0.2","-1.8","","-2","-2","-0.4","13066"
"Max Muncy","LAD","2B","195.2","0","","","1","","0","1","","2","","0.5","-0.6","-1.0","-1.2","-18.1","","-1","-1","-0.4","13301"
"Connor Joe","COL","1B","143.0","0","","","0","","-1","4","","3","","0.0","2.0","0.1","2.1","9.7","","1","1","-0.4","16572"
"Jean Segura","PHI","2B","373.0","0","","","0","","0","2","","2","","-0.1","0.2","0.1","0.3","0.9","","-1","-1","-0.5","5933"
"Nick Solak","TEX","LF","112.0","0","","","","-1","0","-3","","-4","1.2","","-0.9","0.1","0.5","6.0","","-2","-1","-0.5","19294"
"Dylan Moore","SEA","SS","116.0","0","","","-1","","0","-1","","-2","","0.1","-0.1","0.2","0.2","2.0","","-2","-1","-0.5","18042"
"Michael Brantley","HOU","LF","249.0","0","","","","1","0","1","","2","0.6","","0.4","0.3","1.3","8.0","","0","0","-0.5","4106"
"Alcides Escobar","WSN","SS","307.2","0","","","0","","0","-5","","-5","","0.2","0.2","-0.7","-0.4","-1.5","","-3","-2","-0.5","6310"
"Raimel Tapia","TOR","CF","149.2","0","","","","0","-1","0","","-1","-0.6","","-1.3","-0.2","-2.1","-18.1","","0","0","-0.5","14350"
"Diego Castillo","PIT","2B","165.2","0","","","0","","-1","-2","","-3","","","-1.7","0.5","-1.2","-14.2","","-1","-1","-0.5","19906"
"Sheldon Neuse","OAK","2B","122.0","0","","","0","","0","-4","","-4","","0.3","-0.8","-0.5","-1.0","-12.3","","-1","-1","-0.5","19635"
"Kole Calhoun","TEX","LF","160.0","0","","","","0","-1","1","","0","0.2","","0.6","0.3","1.2","7.0","","0","0","-0.5","11200"
"Willi Castro","DET","LF","206.2","0","","","","1","0","0","","1","0.0","","-1.1","-0.4","-1.5","-12.6","","0","0","-0.6","17338"
"Chad Pinder","OAK","LF","394.2","0","","","","-2","1","-1","","-2","1.9","","-0.2","0.4","2.2","5.9","","-2","-1","-0.6","15191"
"Adam Duvall","ATL","CF","382.0","0","","","","-1","-1","3","","1","-1.5","","0.9","0.2","-0.4","-2.5","","2","2","-0.6","10950"
"Yandy Diaz","TBR","1B","133.0","0","","","0","","0","0","","0","","","-0.1","0.1","-0.1","-0.5","","1","0","-0.6","16578"
"Whit Merrifield","KCR","RF","252.0","0","","","","-1","0","-1","","-2","-0.4","","-0.7","0.3","-0.8","-4.3","","1","1","-0.6","11281"
"Alex Verdugo","BOS","LF","779.1","0","","","","-2","0","-2","","-4","0.9","","2.0","-0.3","2.6","5.1","","1","0","-0.6","17027"
"Gleyber Torres","NYY","2B","653.2","0","","","-1","","0","6","","5","","-0.3","1.3","-0.3","0.7","1.6","","-1","-1","-0.7","16997"
"Maikel Franco","WSN","3B","735.2","0","","","-2","","0","-7","","-10","","-0.3","-1.2","0.4","-1.1","-2.0","","-3","-2","-0.7","12179"
"Trayce Thompson","- - -","RF","105.0","0","","","","0","0","2","","2","0.4","","0.5","0.2","1.1","10.9","","-1","-1","-0.7","9952"
"Josh Naylor","CLE","1B","394.0","0","","","0","","-1","1","","0","","0.1","1.0","-1.5","-0.4","-1.6","","3","2","-0.7","18839"
"Jon Berti","MIA","2B","151.2","0","","","0","","0","1","","1","","-0.2","0.7","-0.1","0.4","4.3","","-1","-1","-0.7","12037"
"Keston Hiura","MIL","1B","110.0","0","","","0","","1","0","","1","","0.2","0.3","0.6","1.2","6.9","","0","0","-0.7","20003"
"Brandon Lowe","TBR","2B","277.1","0","","","1","","0","-4","","-3","","0.5","-0.9","-0.6","-1.0","-6.7","","-2","-1","-0.8","18882"
"Cavan Biggio","TOR","1B","156.0","0","","","0","","0","2","","2","","-0.1","0.5","-0.3","0.1","0.9","","1","1","-0.8","19252"
"Mike Moustakas","CIN","1B","119.0","0","","","0","","-1","0","","-1","","","0.0","0.1","0.1","3.3","","0","0","-0.8","4892"
"Kurt Suzuki","LAA","C","236.2","-1","-1","-1","","","1","","","-2","","","","","","","-1.9","","","-0.8","8259"
"Michael Perez","PIT","C","294.2","-2","0","-1","","","2","","","-2","","","","","","","-2.4","","","-0.8","12977"
"Wilmer Flores","SFG","1B","185.1","0","","","0","","0","0","","0","","-0.1","0.4","-1.1","-0.8","-13.8","","1","1","-0.9","5827"
"P.J. Higgins","CHC","C","115.0","-1","0","-1","","","-1","","","-4","","","","","","","-0.8","","","-0.9","18433"
"Nick Senzel","CIN","CF","553.2","0","","","","-3","-1","-2","","-6","0.9","","-0.5","0.6","1.0","2.6","","-1","-1","-0.9","19293"
"Austin Hays","BAL","LF","436.1","0","","","","2","0","2","","4","1.9","","1.1","0.5","3.5","10.2","","-2","-2","-0.9","19363"
"Luis Barrera","OAK","RF","101.0","0","","","","-1","0","3","","2","-0.9","","2.3","-0.2","1.1","25.9","","0","0","-0.9","19615"
"Adam Engel","CHW","RF","281.0","0","","","","0","1","2","","3","-0.4","","-0.5","0.3","-0.6","-3.1","","1","1","-0.9","15082"
"Nolan Jones","CLE","RF","103.0","0","","","","-1","0","0","","-1","-0.4","","0.9","0.2","0.6","5.1","","0","0","-0.9","20529"
"Whit Merrifield","KCR","2B","417.0","0","","","1","","0","-3","","-2","","-0.8","-0.5","0.9","-0.4","-0.1","","-1","0","-0.9","11281"
"Jason Heyward","CHC","RF","166.1","0","","","","-1","0","0","","-1","-1.3","","1.4","0.2","0.3","5.8","","1","1","-0.9","4940"
"Luis Rengifo","LAA","2B","393.2","0","","","0","","0","-4","","-4","","0.0","-0.8","-1.7","-2.4","-8.9","","-2","-1","-1.0","19858"
"Tyler O'Neill","STL","LF","422.2","0","","","","-1","1","1","","1","-0.7","","-0.8","0.5","-1.0","-3.8","","1","1","-1.0","15711"
"Julio Rodriguez","SEA","CF","787.2","0","","","","-2","-1","5","","2","-3.9","","3.2","0.2","-0.6","-1.7","","5","5","-1.0","23697"
"Brendan Donovan","STL","RF","117.0","0","","","","1","1","-3","","-1","1.5","","-1.1","0.2","0.5","7.8","","-2","-2","-1.0","24679"
"Wilmer Flores","SFG","3B","182.2","0","","","0","","0","-1","","-1","","-0.2","0.1","-0.6","-0.6","-3.5","","-2","-1","-1.1","5827"
"Kevin Newman","PIT","SS","131.0","0","","","0","","1","-2","","-1","","0.2","1.1","-1.0","0.3","1.9","","-2","-2","-1.1","17696"
"Thairo Estrada","SFG","2B","519.0","0","","","-2","","-1","-7","","-10","","-0.4","-1.0","-0.5","-2.0","-6.2","","-2","-1","-1.2","16426"
"Andrew McCutchen","MIL","LF","168.0","0","","","","-1","0","3","","2","-1.4","","1.8","0.1","0.5","5.8","","1","1","-1.2","9847"
"Jarren Duran","BOS","CF","223.0","0","","","","-1","-1","-4","","-6","-0.6","","-2.4","0.2","-2.8","-15.5","","0","0","-1.2","24617"
"Brendan Donovan","STL","LF","119.0","0","","","","0","0","0","","0","-0.2","","-0.7","0.2","-0.7","-6.7","","-1","-1","-1.3","24679"
"Diego Castillo","PIT","RF","111.1","0","","","","-1","0","-1","","-2","-0.4","","-1.7","-0.1","-2.2","-20.3","","-1","-1","-1.3","19906"
"Jeimer Candelario","DET","3B","603.2","0","","","0","","0","-3","","-3","","0.3","0.4","-1.8","-1.1","-4.5","","-4","-3","-1.3","13621"
"Andrelton Simmons","CHC","2B","106.0","0","","","0","","0","-1","","-1","","-0.4","0.1","0.4","0.1","4.2","","-1","-1","-1.4","10847"
"Garrett Stubbs","PHI","C","177.2","-1","0","-1","","","1","","","0","","","","","","","-1.9","","","-1.4","18067"
"Manuel Margot","TBR","RF","210.2","0","","","","-2","0","0","","-2","1.3","","-0.8","-0.9","-0.4","-3.3","","-2","-2","-1.4","14712"
"Taylor Walls","TBR","SS","383.0","0","","","0","","1","2","","3","","-0.1","-0.1","-1.3","-1.6","-6.0","","-4","-3","-1.4","22458"
"Eduardo Escobar","NYM","3B","734.2","0","","","0","","1","-8","","-8","","-0.1","-1.1","-1.7","-2.9","-9.5","","-4","-3","-1.4","6153"
"Hunter Dozier","KCR","1B","298.0","0","","","0","","-1","-1","","-2","","0.0","-0.7","1.0","0.2","0.7","","1","1","-1.4","15117"
"Lane Thomas","WSN","CF","237.0","0","","","","0","0","1","","1","-0.9","","1.6","-0.6","0.1","0.2","","0","0","-1.5","16939"
"Jacob Stallings","MIA","C","573.2","1","-3","-3","","","2","","","-5","","","","","","","-3.4","","","-1.5","13723"
"Curt Casali","SFG","C","301.0","-2","3","-1","","","1","","","3","","","","","","","-3.1","","","-1.5","12510"
"Austin Slater","SFG","CF","315.2","0","","","","-2","-1","-3","","-6","-1.7","","-2.8","-0.1","-4.6","-18.7","","1","1","-1.5","16153"
"Nolan Gorman","STL","2B","324.1","0","","","1","","0","0","","1","","1.4","-0.7","0.2","0.9","0.5","","-4","-3","-1.6","22263"
"Kole Calhoun","TEX","RF","470.2","0","","","","-2","0","-1","","-3","-0.4","","0.2","0.4","0.2","1.0","","1","1","-1.6","11200"
"Didi Gregorius","PHI","SS","441.0","0","","","0","","-2","-2","","-4","","0.4","-2.3","3.5","1.6","3.0","","-5","-4","-1.6","6012"
"Brendan Donovan","STL","2B","118.2","0","","","0","","1","0","","1","","","-0.1","0.8","0.7","5.0","","-2","-2","-1.6","24679"
"Hanser Alberto","LAD","2B","128.0","0","","","1","","0","-1","","0","","0.2","0.5","-0.8","0.0","-3.4","","-3","-2","-1.6","11902"
"Luis Gonzalez","SFG","RF","284.0","0","","","","2","0","1","","3","0.8","","-0.7","-0.2","0.0","1.0","","-2","-1","-1.7","20332"
"Brian Anderson","MIA","3B","353.0","0","","","0","","0","-5","","-5","","-0.1","0.2","-2.0","-1.9","-6.0","","-3","-2","-1.7","18289"
"Lars Nootbaar","STL","RF","160.0","0","","","","2","0","-2","","0","0.4","","-1.2","-0.1","-0.9","-7.8","","-2","-1","-1.7","21454"
"Tony Kemp","OAK","LF","193.0","0","","","","-1","0","1","","0","0.1","","-0.1","0.3","0.3","2.2","","-2","-1","-1.7","14894"
"Rob Refsnyder","BOS","RF","112.0","0","","","","0","0","1","","1","-0.9","","0.2","0.1","-0.5","-2.7","","-1","0","-1.8","13770"
"Nick Gordon","MIN","CF","170.0","0","","","","0","0","0","","0","-0.9","","1.6","-1.0","-0.2","-2.0","","-1","-1","-1.8","16337"
"Michael A. Taylor","KCR","CF","566.0","0","","","","2","2","3","","7","-0.4","","3.3","-1.0","2.0","5.5","","0","0","-1.8","11489"
"Andrew Knizner","STL","C","432.0","-4","0","0","","","1","","","-4","","","","","","","-5.5","","","-1.8","19514"
"Pavin Smith","ARI","RF","328.0","0","","","","0","0","0","","0","-0.4","","5.3","-0.7","4.2","14.6","","0","0","-1.8","19892"
"Travis Demeritte","ATL","RF","167.0","0","","","","1","0","-1","","0","0.1","","-0.2","0.2","0.2","1.1","","-1","-1","-1.8","15958"
"Anthony Santander","BAL","RF","413.2","0","","","","1","0","2","","3","-0.7","","-1.4","0.1","-2.0","-6.9","","0","0","-1.8","14551"
"Akil Baddoo","DET","CF","127.0","0","","","","0","0","-2","","-2","-0.7","","-1.0","-0.1","-1.8","-14.7","","-1","-1","-1.8","22168"
"Tyler Nevin","BAL","3B","274.1","0","","","0","","-1","-1","","-2","","-0.1","0.6","0.0","0.4","1.7","","-3","-2","-1.9","17893"
"Jake McCarthy","ARI","RF","157.2","0","","","","1","0","-1","","0","-0.5","","-0.4","0.3","-0.7","-5.8","","-1","-1","-1.9","21622"
"Taylor Ward","LAA","RF","530.0","0","","","","-3","-1","4","","0","-1.7","","1.2","-0.2","-0.7","-0.6","","2","2","-1.9","17548"
"Andrew Benintendi","KCR","LF","757.0","0","","","","-1","0","2","","1","0.1","","5.9","1.1","7.1","11.5","","0","0","-1.9","17901"
"Gavin Lux","LAD","LF","190.1","0","","","","0","0","-2","","-2","-0.2","","-0.4","0.1","-0.4","-4.3","","-1","-1","-1.9","19955"
"Aaron Hicks","NYY","CF","395.0","0","","","","-2","0","-1","","-3","-1.4","","-2.2","0.3","-3.3","-15.5","","0","0","-2.0","5297"
"Ryan Mountcastle","BAL","1B","570.2","0","","","0","","2","1","","3","","-0.2","0.2","0.3","0.2","0.6","","4","3","-2.0","18373"
"Eloy Jimenez","CHW","LF","113.2","0","","","","0","0","-1","","-1","0.1","","-0.2","0.2","0.1","2.1","","-2","-2","-2.0","17484"
"Rougned Odor","BAL","2B","627.2","0","","","0","","0","-4","","-4","","0.9","-1.5","-1.7","-2.3","-4.3","","-4","-3","-2.0","12282"
"Colin Moran","CIN","1B","150.2","0","","","0","","-1","0","","-1","","","-0.2","0.1","-0.2","-8.9","","-1","-1","-2.0","16909"
"Darin Ruf","SFG","1B","235.0","0","","","0","","1","-4","","-3","","-0.1","0.3","-0.6","-0.5","-1.8","","0","0","-2.0","9929"
"Alex Kirilloff","MIN","1B","131.2","0","","","0","","0","-1","","-1","","","-0.2","0.1","-0.1","-4.8","","-1","-1","-2.0","20325"
"Riley Greene","DET","CF","275.0","0","","","","-1","0","0","","-1","-1.4","","1.7","-0.6","-0.3","-1.4","","0","0","-2.0","25976"
"Cooper Hummel","ARI","LF","153.2","0","","","","0","1","-1","","0","-0.3","","-1.0","-0.1","-1.4","-12.2","","-1","-1","-2.0","19458"
"Trent Grisham","SDP","CF","760.1","0","","","","-3","1","0","","-2","-2.8","","0.0","-0.6","-3.4","-7.3","","3","2","-2.1","18564"
"Mike Brosseau","MIL","3B","201.2","0","","","0","","-1","-1","","-2","","-0.2","-0.9","-0.9","-2.0","-11.6","","-3","-2","-2.1","19683"
"Richie Palacios","CLE","LF","146.0","0","","","","-1","0","1","","0","-0.9","","-0.6","0.3","-1.2","-10.3","","-1","-1","-2.1","24589"
"Austin Meadows","DET","LF","123.1","0","","","","-1","1","3","","3","-1.1","","1.1","0.2","0.2","4.3","","-1","-1","-2.1","15672"
"Mike Yastrzemski","SFG","RF","310.2","0","","","","0","-1","2","","1","-1.2","","1.5","0.1","0.3","1.2","","0","0","-2.1","14854"
"Michael Chavis","PIT","1B","448.2","0","","","0","","1","2","","3","","0.0","0.2","0.9","1.1","5.0","","2","1","-2.1","17321"
"Bryan De La Cruz","MIA","RF","165.1","0","","","","1","-1","0","","0","0.0","","0.2","-0.6","-0.5","-4.1","","-2","-2","-2.2","19600"
"Stephen Piscotty","OAK","RF","173.0","0","","","","-2","0","-1","","-3","-0.9","","-0.5","0.2","-1.2","-7.6","","-1","-1","-2.2","13367"
"Jorge Soler","MIA","LF","469.0","0","","","","0","1","-2","","-1","0.8","","-2.1","0.5","-0.8","-2.0","","-2","-2","-2.2","14221"
"Taylor Walls","TBR","2B","127.2","0","","","1","","0","1","","2","","-0.3","0.6","-0.1","0.2","2.8","","-3","-2","-2.2","22458"
"Elias Diaz","COL","C","533.0","-7","-3","0","","","-1","","","-11","","","","","","","-6.8","","","-2.2","11680"
"Luis Garcia","WSN","SS","388.1","0","","","-1","","-1","-9","","-11","","0.1","0.0","-4.1","-4.0","-17.3","","-5","-4","-2.2","20391"
"LaMonte Wade Jr.","SFG","RF","101.0","0","","","","0","0","-2","","-2","-0.1","","-1.2","0.1","-1.2","-15.6","","-2","-2","-2.3","18126"
"Ramon Laureano","OAK","CF","169.0","0","","","","0","-1","-6","","-7","0.7","","-3.9","0.2","-3.0","-25.5","","-3","-3","-2.3","17128"
"Nomar Mazara","SDP","RF","277.2","0","","","","-2","-1","1","","-2","-2.1","","0.6","0.1","-1.4","-7.5","","1","1","-2.3","14553"
"Garrett Cooper","MIA","1B","368.0","0","","","0","","0","-1","","-2","","0.1","0.3","-0.5","-0.1","-0.8","","1","1","-2.3","15279"
"Matt Vierling","PHI","CF","248.0","0","","","","-1","0","-1","","-2","-1.4","","0.4","0.4","-0.7","-9.9","","0","0","-2.3","21558"
"Chas McCormick","HOU","LF","215.0","0","","","","-1","0","-2","","-3","-1.4","","-2.0","-0.6","-4.0","-35.9","","0","0","-2.3","19599"
"Luis Urias","MIL","3B","225.1","0","","","0","","0","-2","","-2","","-0.3","-0.9","-1.1","-2.3","-10.6","","-3","-3","-2.3","16622"
"Harold Castro","DET","1B","112.0","0","","","0","","0","-1","","-1","","","-0.1","0.0","0.0","-6.1","","-2","-1","-2.3","14691"
"Harold Castro","DET","SS","118.0","0","","","0","","0","-2","","-2","","0.1","-0.4","-0.8","-1.1","-17.2","","-4","-3","-2.3","14691"
"Matt Reynolds","CIN","2B","215.0","0","","","0","","-1","-2","","-3","","0.0","-0.2","-0.8","-1.1","-11.3","","-3","-3","-2.5","13788"
"Raimel Tapia","TOR","LF","216.0","0","","","","1","0","-1","","0","-0.8","","-1.5","0.3","-2.0","-16.6","","-1","-1","-2.5","14350"
"Ian Happ","CHC","LF","706.0","0","","","","1","-1","4","","4","-0.2","","3.5","0.3","3.6","6.0","","-1","0","-2.5","17919"
"Juan Yepez","STL","RF","111.2","0","","","","1","0","-1","","0","0.1","","-0.6","0.1","-0.4","-4.2","","-2","-2","-2.5","18400"
"Bobby Witt Jr.","KCR","SS","532.0","0","","","0","","0","-14","","-14","","-1.4","-2.3","-1.3","-4.9","-7.9","","-5","-4","-2.5","25764"
"Miguel Sano","MIN","1B","139.0","0","","","0","","0","1","","1","","","-0.1","-1.4","-1.5","-55.4","","-2","-1","-2.5","12164"
"Geraldo Perdomo","ARI","SS","666.1","0","","","-1","","0","-5","","-6","","-0.3","-2.8","-0.1","-3.2","-5.7","","-7","-5","-2.6","22799"
"Jonathan India","CIN","2B","324.1","0","","","0","","-1","-8","","-9","","0.2","-0.4","-1.3","-1.5","-6.6","","-4","-3","-2.6","21523"
"Luis Robert","CHW","CF","633.2","0","","","","0","0","-3","","-3","-1.8","","-4.8","-0.7","-7.2","-18.1","","1","1","-2.6","20043"
"Mark Canha","NYM","LF","538.2","0","","","","-1","-1","1","","-1","-1.0","","0.2","0.5","-0.3","-1.3","","0","0","-2.6","11445"
"Owen Miller","CLE","1B","396.1","0","","","0","","-1","0","","-1","","0.0","1.8","-1.8","0.1","0.2","","1","1","-2.6","24655"
"Robinson Cano","- - -","2B","134.0","0","","","0","","0","-4","","-4","","-0.3","0.0","0.8","0.5","3.1","","-3","-2","-2.6","3269"
"Dylan Carlson","STL","RF","398.0","0","","","","-1","0","-5","","-6","0.3","","-0.5","0.1","-0.1","-0.4","","-2","-2","-2.7","20126"
"Bryan De La Cruz","MIA","CF","167.0","0","","","","1","0","-2","","-1","0.0","","-2.4","-0.9","-3.3","-29.4","","-3","-2","-2.7","19600"
"Jorge Polanco","MIN","2B","629.2","0","","","0","","1","0","","1","","-0.7","0.4","-2.0","-2.3","-5.5","","-3","-2","-2.7","13152"
"Luis Urias","MIL","SS","189.2","0","","","-1","","0","0","","-1","","-0.7","0.5","-1.1","-1.2","-8.7","","-4","-3","-2.8","16622"
"Gio Urshela","MIN","3B","682.2","0","","","0","","0","1","","1","","0.2","-0.2","0.7","0.7","1.9","","-6","-5","-2.8","10681"
"Seiya Suzuki","CHC","RF","456.2","0","","","","-1","-1","-2","","-4","0.4","","-0.3","-0.9","-0.7","-1.6","","-2","-2","-2.8","30116"
"Ji-Man Choi","TBR","1B","528.2","0","","","0","","0","-2","","-2","","","0.7","1.1","1.8","4.6","","2","1","-2.8","5452"
"Austin Riley","ATL","3B","854.1","0","","","-1","","0","0","","0","","0.1","-2.4","-1.1","-3.4","-11.3","","-7","-5","-2.8","18360"
"Luis Arraez","MIN","1B","312.0","0","","","0","","1","-2","","-1","","0.1","-0.1","0.9","1.0","5.6","","-1","0","-2.8","18568"
"Nick Gordon","MIN","LF","270.2","0","","","","-1","1","1","","1","-1.5","","-0.4","0.1","-1.8","-8.4","","-1","-1","-2.8","16337"
"Andrew Vaughn","CHW","RF","154.0","0","","","","-1","-1","-3","","-5","-1.1","","-2.0","-0.4","-3.5","-31.8","","-1","-1","-2.8","26197"
"Yoshi Tsutsugo","PIT","1B","276.0","0","","","0","","0","-4","","-4","","","-1.6","-0.3","-2.0","-11.3","","-1","-1","-2.9","27459"
"Charlie Blackmon","COL","RF","295.1","0","","","","0","-1","-1","","-2","0.7","","0.5","-0.5","0.7","2.7","","-3","-3","-2.9","7859"
"Edward Olivares","KCR","RF","150.0","0","","","","1","0","-4","","-3","0.8","","-0.7","-0.6","-0.5","-4.5","","-4","-3","-2.9","19698"
"Ketel Marte","ARI","2B","521.2","0","","","-1","","0","-4","","-5","","-0.2","1.3","-2.4","-1.3","-3.6","","-4","-3","-3.0","13613"
"Salvador Perez","KCR","C","309.0","-3","1","-1","","","1","","","-1","","","","","","","-4.6","","","-3.0","7304"
"Steven Kwan","CLE","RF","153.0","0","","","","-2","0","-2","","-4","-0.6","","-1.1","-0.4","-2.0","-16.8","","-2","-2","-3.0","24610"
"Alec Bohm","PHI","3B","670.1","0","","","-1","","0","-12","","-13","","-0.2","-3.0","1.6","-1.5","-2.1","","-6","-5","-3.0","21618"
"Luis Gonzalez","SFG","LF","122.2","0","","","","0","-1","-4","","-5","-0.3","","-1.9","-0.2","-2.4","-28.4","","-3","-2","-3.1","20332"
"Lane Thomas","WSN","LF","330.0","0","","","","0","-1","0","","-1","-1.1","","0.1","0.1","-0.9","-3.3","","-1","-1","-3.1","16939"
"Oscar Mercado","CLE","RF","211.0","0","","","","1","0","1","","2","-0.7","","0.9","0.3","0.4","1.8","","-2","-2","-3.1","16375"
"Austin Hays","BAL","RF","292.0","0","","","","2","0","0","","2","0.3","","-0.8","0.2","-0.3","-0.8","","-3","-2","-3.2","19363"
"Hunter Dozier","KCR","RF","173.0","0","","","","-2","0","-3","","-5","-0.8","","0.3","0.2","-0.3","-1.2","","-2","-2","-3.2","15117"
"Patrick Wisdom","CHC","3B","718.0","0","","","1","","-1","-2","","-2","","0.5","1.4","-0.4","1.5","2.0","","-7","-6","-3.2","13602"
"Randy Arozarena","TBR","LF","657.2","0","","","","1","-1","-1","","-1","0.6","","0.8","-1.4","0.0","0.3","","-2","-2","-3.2","19290"
"Tyler Naquin","CIN","RF","316.0","0","","","","0","1","-3","","-2","-1.2","","-2.8","0.3","-3.7","-19.2","","-1","-1","-3.3","13359"
"Frank Schwindel","CHC","1B","344.0","0","","","0","","0","-2","","-2","","0.1","1.1","1.1","2.3","8.6","","-1","-1","-3.4","15351"
"Carlos Santana","- - -","1B","498.0","0","","","0","","2","2","","3","","0.1","-1.3","3.0","1.8","2.3","","1","0","-3.4","2396"
"Alex Kirilloff","MIN","LF","148.2","0","","","","0","0","0","","0","-0.7","","0.7","-0.6","-0.6","-6.6","","-3","-2","-3.4","20325"
"Harold Castro","DET","3B","181.1","0","","","0","","0","-6","","-7","","0.0","0.1","-1.8","-1.7","-16.7","","-5","-4","-3.4","14691"
"Christopher Morel","CHC","CF","317.0","0","","","","1","0","-6","","-5","1.7","","-2.6","-0.9","-1.9","-6.1","","-5","-4","-3.4","21897"
"Emmanuel Rivera","KCR","3B","445.0","0","","","-1","","0","3","","2","","-1.2","-3.8","1.4","-3.6","-5.8","","-5","-3","-3.4","19890"
"Kris Bryant","COL","LF","232.0","0","","","","-1","-1","-1","","-3","-1.3","","-0.6","-0.6","-2.5","-13.7","","-2","-2","-3.5","15429"
"Jose Abreu","CHW","1B","680.2","0","","","0","","-2","2","","0","","0.0","-0.6","0.2","-0.4","-0.6","","3","2","-3.5","15676"
"A.J. Pollock","CHW","LF","528.0","0","","","","2","2","-1","","3","1.0","","-2.1","0.2","-1.0","-2.7","","-4","-3","-3.6","9256"
"Jake Burger","CHW","3B","326.0","0","","","0","","1","-6","","-5","","0.1","-3.2","-1.2","-4.2","-12.4","","-6","-5","-3.6","22275"
"Vladimir Guerrero Jr.","TOR","1B","646.2","0","","","0","","1","5","","6","","-0.1","-0.5","0.4","-0.2","-0.3","","2","2","-3.6","19611"
"Jesus Aguilar","MIA","1B","435.2","0","","","1","","-1","-3","","-3","","0.2","-0.9","-0.1","-0.8","-2.5","","-1","0","-3.7","11342"
"Tommy Pham","CIN","LF","662.0","0","","","","0","0","2","","2","-0.3","","-2.0","-0.5","-2.7","-5.5","","-2","-2","-3.7","2967"
"Franchy Cordero","BOS","1B","290.0","0","","","0","","-1","0","","-1","","","-1.5","-2.3","-3.8","-28.6","","-2","-1","-3.7","14567"
"Austin Meadows","DET","RF","141.0","0","","","","-1","0","2","","1","-1.2","","1.0","0.2","0.0","-1.2","","-2","-2","-3.7","15672"
